tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-05-24 00:00:00,2025-05-27 04:00:00,2.29,2025-05-25 12:00:00,4196,4215
OCO,2025-04-21 08:00:00,2025-04-24 16:00:00,2.25,2025-04-23 08:00:00,4000,4020
OCO,2025-03-13 12:00:00,2025-03-17 16:00:00,2.43,2025-03-15 12:00:00,3767,3792
OCOI,2025-03-09 20:00:00,2025-03-13 20:00:00,2.04,2025-03-11 00:00:00,3745,3769
OCOI,2025-02-23 16:00:00,2025-02-26 20:00:00,2.18,2025-02-25 08:00:00,3660,3679
OCOI,2025-01-29 16:00:00,2025-02-04 08:00:00,2.34,2025-02-03 04:00:00,3510,3544
OCOI,2024-11-18 20:00:00,2024-11-20 20:00:00,1.08,2024-11-20 04:00:00,3079,3091
OCO,2024-03-07 20:00:00,2024-03-17 16:00:00,0.72,2024-03-11 20:00:00,1543,1602
OCOI,2023-11-17 16:00:00,2023-11-27 16:00:00,0.59,2023-11-22 00:00:00,876,936
